NR_CONVENIO;ID_PROPOSTA;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
797334;751300;28;12;2013;28/12/2013;Prestação de Contas Aprovada com Ressalvas;;Publicado;NÃO;SIM;25000157474201400;257001;10/01/2014;28/12/2013;24/08/2017;60;23/10/2017;Normal;1;2;1;224430;213208;11222;213208;213208;213207,99;11222,01;;11222
757849;466737;16;12;2011;16/12/2011;Prestação de Contas Aprovada com Ressalvas;;Publicado;NÃO;NÃO;25000.1467752011-12;257001;04/01/2012;16/12/2011;12/03/2016;30;11/04/2016;Normal;1;3;1;52726,85;52726,85;0;52726,85;52726,85;3001,41;;;
805552;863028;9;7;2014;09/07/2014;Em execução;;Publicado;SIM;SIM;320782014;175004;28/07/2014;09/07/2014;17/12/2017;60;15/02/2018;Normal;1;1;;1007755,1;987600;20155,1;987600;;;;;
845638;1176528;22;9;2017;22/09/2017;Em execução;;Publicado;SIM;SIM;306172017;175004;02/10/2017;22/09/2017;30/11/2022;60;29/01/2023;Cláusula Suspensiva;1;;;250000;245850;4150;245850;;;;;
811849;861007;2;9;2015;02/09/2015;Em execução;;Publicado;SIM;SIM;303512014;175004;14/09/2015;02/09/2015;22/08/2018;60;21/10/2018;Sob Liminar Judicial e Cláusula Suspensiva;1;;;176797;176620;177;176620;;;;;
850654;1167379;27;10;2017;27/10/2017;Em execução;;Publicado;SIM;SIM;58000002703201700;180073;31/10/2017;27/10/2017;27/06/2018;60;26/08/2018;Normal;1;;;100766,77;100000;766,77;100000;;;;;
788725;724024;6;11;2013;06/11/2013;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;037125/2013;135098;18/11/2013;06/11/2013;12/02/2016;60;12/04/2016;Normal;1;1;;220000;214500;5500;214500;214500;24885,83;638,1;;5500
747689;212292;31;12;2010;31/12/2010;Convênio Anulado;;Publicado;NÃO;NÃO;59200.000275/2010-10;530023;13/01/2011;13/01/2011;11/01/2013;30;10/02/2013;Cláusula Suspensiva;1;;1;266980;150000;116980;0;;;;;
767320;479273;30;12;2011;30/12/2011;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;045504/2011;135003;12/01/2012;30/12/2011;31/12/2012;60;01/03/2013;Normal;1;1;;108850;100000;8850;100000;100000;1301,96;;;8850
837033;1111256;14;12;2016;14/12/2016;Em execução;;Publicado;SIM;SIM;25000162382201700;257001;21/12/2016;14/12/2016;07/06/2018;60;06/08/2018;Normal;1;;1;150000;150000;0;150000;150000;;;;
